Date,LQD US Equity  (L1),EMB US Equity  (L1),MUB US Equity  (L1),TIP US Equity  (L1),SHY US Equity  (R1),HYG US Equity  (L1)
5/29/2019,61.7875,66.9811,41.707,31.1773,9.3041,70.186
5/28/2019,61.72,67.0725,41.6441,30.9475,9.2911,70.6447
5/24/2019,61.612,66.8591,41.5811,30.8786,9.2004,70.8042
5/23/2019,61.2745,66.6915,41.4804,30.6603,9.2393,71.0435
5/22/2019,60.9236,66.9201,41.4049,30.3845,9.0448,71.9011
5/21/2019,60.7211,67.0116,41.2791,30.3386,8.993,71.7615
5/20/2019,60.5861,66.8134,41.4427,30.2696,9.0448,71.223
5/17/2019,60.9641,66.0666,41.493,30.442,9.0967,71.3826
5/16/2019,60.9506,66.4476,41.4301,30.5683,9.0707,71.4424
5/15/2019,61.207,66.4172,41.4679,30.7752,9.1356,70.9239
5/14/2019,60.7616,65.8075,41.2036,30.5109,9.0578,70.7644
5/13/2019,60.5321,65.2893,41.1407,30.419,9.0578,70.3855
5/10/2019,60.4376,66.6305,40.8134,30.1432,8.9281,71.9609
5/9/2019,60.3432,66.0666,40.8009,29.856,8.9022,71.4823
5/8/2019,60.1947,66.5696,40.5366,29.6377,8.8374,71.7415
5/7/2019,60.7346,66.3867,40.675,29.9709,8.8503,71.6817
5/6/2019,60.7481,67.2707,40.4485,29.9019,8.7985,72.7187
5/3/2019,60.5321,67.3011,40.2723,29.7066,8.7337,72.6389
5/2/2019,59.8167,66.3562,40.1213,29.3504,8.6948,72.2002
5/1/2019,60.3972,66.6153,40.1716,29.879,8.7466,72.0805
4/30/2019,60.4488,66.6625,40.078,30.1606,8.8419,72.6437
4/29/2019,60.3815,66.4197,39.965,29.9424,8.7643,72.6239
4/26/2019,61.014,66.2527,40.0152,30.3099,8.8031,72.7033
4/25/2019,60.4488,66.3589,39.8143,30.0228,8.6866,72.2664
4/24/2019,60.5295,66.1313,39.7766,30.0228,8.6866,72.187
4/23/2019,59.9912,66.6018,39.4626,29.5748,8.6219,72.4253
4/22/2019,59.3318,66.1009,39.2743,29.2762,8.5702,71.8296
4/18/2019,59.5875,66.2223,39.2366,29.4025,8.5572,72.1274
4/17/2019,59.4529,66.0857,39.1487,29.035,8.5314,72.048
4/16/2019,59.4798,65.9339,39.0984,29.0579,8.4925,72.465
4/15/2019,59.9239,66.2527,39.1738,29.3566,8.5055,72.5643
4/12/2019,60.1796,66.1464,38.9854,29.2876,8.4925,72.6834
4/11/2019,60.2738,66.1616,39.2366,29.5289,8.5572,72.4253
4/10/2019,60.4353,66.7688,39.2743,29.8275,8.6219,72.1671
4/9/2019,59.6548,66.4348,39.1738,29.3566,8.5314,71.4125
4/8/2019,59.3183,66.3286,38.9854,29.2302,8.5184,71.5317
4/5/2019,59.5471,66.9964,39.0733,29.3566,8.5443,71.631
4/4/2019,59.2914,66.3438,38.998,29.2072,8.5572,71.3133
4/3/2019,59.0357,66.3893,39.0105,29.1154,8.5314,71.0551
4/2/2019,59.3721,66.7688,39.1989,29.5174,8.5831,70.9955
4/1/2019,59.1568,66.6625,39.0859,29.391,8.5314,70.9161
3/29/2019,59.7499,66.369,39.343,29.8734,8.6427,70.9582
3/28/2019,59.8707,66.2179,39.556,29.6437,8.7073,70.5232
3/27/2019,59.6694,65.8702,39.4683,29.5403,8.7202,70.1871
3/26/2019,59.4547,66.49,39.3054,29.4829,8.6298,70.0685
3/25/2019,59.3877,66.3388,39.2051,29.7126,8.6427,69.6533
3/22/2019,59.0656,65.4167,39.1049,29.7471,8.5265,69.7126
3/21/2019,58.0996,66.5202,38.5284,29.3566,8.3457,70.3255
3/20/2019,57.8044,66.5656,38.3404,29.368,8.3457,70.3651
3/19/2019,56.7444,65.0993,38.1399,28.5181,8.1907,69.6336
3/18/2019,56.7176,64.9784,38.0647,28.6329,8.2036,69.5347
3/15/2019,56.7981,64.8272,38.0647,28.6444,8.2294,69.594
3/14/2019,56.2345,64.1621,37.8893,28.1965,8.1907,69.4358
3/13/2019,56.5431,64.4039,38.002,28.2309,8.1648,69.5545
3/12/2019,56.7981,64.3586,38.0271,28.0816,8.1519,69.0997
3/11/2019,56.3687,63.8446,37.8642,27.8404,8.1132,68.8032
3/8/2019,56.1943,63.24,37.9143,27.8634,8.139,68.2496
3/7/2019,55.993,62.7865,37.8767,27.7485,8.1003,68.5264
3/6/2019,55.4831,63.1644,37.601,27.3924,8.0099,68.645
3/5/2019,55.3355,63.3005,37.4632,27.2431,7.9324,68.9218
3/4/2019,55.2819,63.2249,37.4256,27.2891,7.9195,69.0009
3/1/2019,54.933,63.3156,37.3253,27.1053,7.8936,69.2579
